,explained_variance
0,0.08687427167987363
1,0.07294772827143255
2,0.04771358157028516
3,0.0454025530496591
4,0.04100821558265142
5,0.04013302642668656
6,0.03597092897364793
7,0.03574690675069416
8,0.03218082333814289
9,0.02968633717860763
