,accuracy,n_features,kind,removed_feature
117,1.0,349,cluster_2,EH_sF2_max
118,1.0,349,cluster_3,F0_std
119,1.0,349,cluster_4,AO_sF3_max
120,1.0,348,cluster_0,EH_sF1_mean
121,1.0,348,cluster_1,IY_sF3_max
122,1.0,348,cluster_2,AE_sF3_mean
123,1.0,348,cluster_3,spectral_S_duration
124,1.0,348,cluster_4,spectral_Z_skew
125,1.0,347,cluster_0,spectral_TH_kurt
126,1.0,347,cluster_1,IH_sF2_min
127,1.0,347,cluster_2,AH_sF3_min
128,1.0,347,cluster_3,AA_sF2_min
129,1.0,347,cluster_4,AH_sF3_mean_dist
130,1.0,346,cluster_0,AH_avg_dur
131,1.0,346,cluster_1,IY_sF1_max
132,1.0,346,cluster_2,IH_sF2_min
133,1.0,346,cluster_3,spectral_Z_intensity
134,1.0,346,cluster_4,spectral_V_kurt
135,1.0,345,cluster_0,AH_sF2_min
136,1.0,345,cluster_1,AY_sF1_max_first
137,1.0,345,cluster_2,AX_sF3_mean
138,1.0,345,cluster_3,T_avg_dur
139,1.0,345,cluster_4,AH_sF4_max
140,1.0,344,cluster_0,EH_sF1_mean_dist
141,1.0,344,cluster_1,IY_sF1_mean
142,1.0,344,cluster_2,AH_sF1_mean
143,1.0,344,cluster_3,spectral_F_cog
144,1.0,344,cluster_4,spectral_JH_cog
145,1.0,343,cluster_0,D_avg_dur
146,1.0,343,cluster_1,AY_sF1_max_third
147,1.0,343,cluster_2,spectral_S_skew
148,1.0,343,cluster_3,IY_sF4_mean_dist
149,1.0,343,cluster_4,spectral_S_skew
150,1.0,342,cluster_0,OW_sF4_mean_third
151,1.0,342,cluster_1,AH_sF4_mean
152,1.0,342,cluster_2,spectral_DH_skew
153,1.0,342,cluster_3,AE_sF4_mean
154,1.0,342,cluster_4,AE_sF4_min
155,1.0,341,cluster_0,OW_sF4_min_first
156,1.0,341,cluster_1,IY_sF1_mean_dist
157,1.0,341,cluster_2,IH_sF4_mean
158,1.0,341,cluster_3,IY_sF2_min
159,1.0,341,cluster_4,L_avg_dur
160,1.0,340,cluster_0,AY_sF1_min_third
161,1.0,340,cluster_1,AE_sF4_mean
162,1.0,340,cluster_2,spectral_DH_kurt
163,1.0,340,cluster_3,IH_sF1_mean_dist
164,1.0,340,cluster_4,IH_sF2_min
165,1.0,339,cluster_0,OW_sF4_mean_first
166,1.0,339,cluster_1,AH_sF3_max
167,1.0,339,cluster_2,spectral_S_duration
168,1.0,339,cluster_3,K_avg_dur
169,1.0,339,cluster_4,AH_sF4_mean
170,1.0,338,cluster_0,IY_sF1_mean_dist
171,1.0,338,cluster_1,IH_sF2_max
172,1.0,338,cluster_2,UW_sF2_min
173,1.0,338,cluster_3,AE_sF4_min
174,1.0,338,cluster_4,M_avg_dur
175,1.0,337,cluster_0,AA_avg_dur
176,1.0,337,cluster_1,spectral_S_cog
177,1.0,337,cluster_2,IH_sF2_mean
178,1.0,337,cluster_3,IH_sF1_max
179,1.0,337,cluster_4,AE_sF1_max
180,1.0,336,cluster_0,EH_sF1_min
181,1.0,336,cluster_1,spectral_TH_intensity
182,1.0,336,cluster_2,UW_sF1_min
183,1.0,336,cluster_3,AO_sF4_mean_dist
184,1.0,336,cluster_4,IH_sF2_mean
185,1.0,335,cluster_0,IH_sF3_mean
186,1.0,335,cluster_1,IH_sF3_mean_dist
187,1.0,335,cluster_2,AH_sF4_mean
188,1.0,335,cluster_3,AO_sF1_mean_dist
189,1.0,335,cluster_4,EH_sF4_mean
190,1.0,334,cluster_0,AY_sF1_min_first
191,1.0,334,cluster_1,AH_sF3_mean
192,1.0,334,cluster_2,AE_sF3_min
193,1.0,334,cluster_3,IH_sF1_mean
194,1.0,334,cluster_4,spectral_S_sdev
195,1.0,333,cluster_0,EH_sF2_max
196,1.0,333,cluster_1,AH_sF4_max
197,1.0,333,cluster_2,spectral_DH_sdev
198,1.0,333,cluster_3,AH_sF3_min
199,1.0,333,cluster_4,AH_sF3_mean
200,1.0,332,cluster_0,IH_sF3_mean_dist
201,1.0,332,cluster_1,spectral_Z_cog
202,1.0,332,cluster_2,AE_sF2_min
203,1.0,332,cluster_3,AH_sF1_max
204,1.0,332,cluster_4,OW_avg_dur
205,1.0,331,cluster_0,EH_sF3_min
206,1.0,331,cluster_1,AH_sF4_min
207,1.0,331,cluster_2,F0_90
208,1.0,331,cluster_3,AH_sF3_mean
209,1.0,331,cluster_4,AY_avg_dur
210,1.0,330,cluster_0,OW_sF4_max_first
211,1.0,330,cluster_1,AY_sF2_min_first
212,1.0,330,cluster_2,AE_sF4_mean_dist
213,1.0,330,cluster_3,AO_sF1_mean
214,1.0,330,cluster_4,UW_sF3_max
215,1.0,329,cluster_0,UW_sF3_mean
216,1.0,329,cluster_1,AY_sF2_min_third
217,1.0,329,cluster_2,spectral_F_duration
218,1.0,329,cluster_3,AE_sF1_min
219,1.0,329,cluster_4,AO_sF4_mean
220,1.0,328,cluster_0,UW_sF3_mean_dist
221,1.0,328,cluster_1,AE_sF1_max
222,1.0,328,cluster_2,IH_sF1_mean
223,1.0,328,cluster_3,vowel_avg_dur
224,1.0,328,cluster_4,vowel_avg_dur
225,1.0,327,cluster_0,ER_avg_dur
226,1.0,327,cluster_1,AE_sF1_mean
227,1.0,327,cluster_2,IY_sF3_mean
228,1.0,327,cluster_3,AE_sF3_min
229,1.0,327,cluster_4,IH_sF1_min
230,1.0,326,cluster_0,OW_sF4_max_third
231,1.0,326,cluster_1,spectral_Z_intensity
232,1.0,326,cluster_2,IY_sF1_mean
233,1.0,326,cluster_3,M_avg_dur
234,1.0,326,cluster_4,AE_sF1_min
235,1.0,325,cluster_0,EH_sF1_max
236,1.0,325,cluster_1,AE_sF1_mean_dist
237,1.0,325,cluster_2,AH_sF1_max
238,1.0,325,cluster_3,AA_sF2_max
239,1.0,325,cluster_4,IH_sF4_max
240,1.0,324,cluster_0,EH_sF2_min
241,1.0,324,cluster_1,UW_sF2_mean
242,1.0,324,cluster_2,D_avg_dur
243,1.0,324,cluster_3,AA_avg_dur
244,1.0,324,cluster_4,F0_10
245,1.0,323,cluster_0,EH_sF2_mean_dist
246,1.0,323,cluster_1,EY_sF4_min_first
247,1.0,323,cluster_2,AH_sF4_max
248,1.0,323,cluster_3,spectral_S_sdev
249,1.0,323,cluster_4,F0_90
250,1.0,322,cluster_0,EH_sF4_max
251,1.0,322,cluster_1,AE_sF4_min
252,1.0,322,cluster_2,AO_sF2_max
253,1.0,322,cluster_3,IH_sF4_min
254,1.0,322,cluster_4,AH_sF4_min
255,1.0,321,cluster_0,EH_sF4_mean_dist
256,1.0,321,cluster_1,IH_sF1_max
257,1.0,321,cluster_2,AY_sF2_min_third
258,1.0,321,cluster_3,AX_sF1_min
259,1.0,321,cluster_4,IH_sF3_min
260,1.0,320,cluster_0,T_avg_dur
261,1.0,320,cluster_1,OW_sF3_max_first
262,1.0,320,cluster_2,UW_sF4_mean
263,1.0,320,cluster_3,AE_sF3_mean
264,1.0,320,cluster_4,spectral_JH_intensity
265,1.0,319,cluster_0,AH_sF4_mean
266,1.0,319,cluster_1,IY_sF2_min
267,1.0,319,cluster_2,AY_sF1_mean_first
268,1.0,319,cluster_3,NG_avg_dur
269,1.0,319,cluster_4,UW_sF1_max
270,1.0,318,cluster_0,EH_sF4_mean
271,1.0,318,cluster_1,OW_sF3_max_third
272,1.0,318,cluster_2,UW_sF1_max
273,1.0,318,cluster_3,IH_sF4_max
274,1.0,318,cluster_4,spectral_DH_sdev
275,1.0,317,cluster_0,EH_sF4_min
276,1.0,317,cluster_1,AY_sF4_mean_third
277,1.0,317,cluster_2,AY_sF2_min_first
278,1.0,317,cluster_3,AH_sF4_min
279,1.0,317,cluster_4,IH_sF3_max
280,1.0,316,cluster_0,OW_sF4_min_third
281,1.0,316,cluster_1,AY_sF4_mean_first
282,1.0,316,cluster_2,IH_sF2_max
283,1.0,316,cluster_3,AE_sF3_max
284,1.0,316,cluster_4,spectral_DH_cog
285,1.0,315,cluster_0,spectral_DH_intensity
286,1.0,315,cluster_1,AH_sF2_max
287,1.0,315,cluster_2,AY_sF2_max_third
288,1.0,315,cluster_3,IH_sF3_max
289,1.0,315,cluster_4,IH_sF4_mean_dist
290,1.0,314,cluster_0,F0_10
291,1.0,314,cluster_1,AH_sF2_mean
292,1.0,314,cluster_2,AH_sF1_min
293,1.0,314,cluster_3,IH_sF4_mean
294,1.0,314,cluster_4,NG_avg_dur
295,1.0,313,cluster_0,IH_sF4_min
296,1.0,313,cluster_1,AE_sF4_max
297,1.0,313,cluster_2,L_avg_dur
298,1.0,313,cluster_3,IY_sF3_max
299,1.0,313,cluster_4,AE_sF2_mean_dist
300,1.0,312,cluster_0,AH_sF4_min
301,1.0,312,cluster_1,AH_sF2_min
302,1.0,312,cluster_2,AY_sF2_max_first
303,1.0,312,cluster_3,AE_sF3_mean_dist
304,1.0,312,cluster_4,spectral_Z_kurt
305,1.0,311,cluster_0,EH_avg_dur
306,1.0,311,cluster_1,AY_sF4_min_third
307,1.0,311,cluster_2,UW_sF4_mean_dist
308,1.0,311,cluster_3,spectral_Z_duration
309,1.0,311,cluster_4,AY_sF3_max_first
310,1.0,310,cluster_0,AH_sF4_mean_dist
311,1.0,310,cluster_1,IH_avg_dur
312,1.0,310,cluster_2,EY_sF4_mean_third
313,1.0,310,cluster_3,AH_sF2_min
314,1.0,310,cluster_4,AO_sF4_mean_dist
315,1.0,309,cluster_0,AW_sF3_max_third
316,1.0,309,cluster_1,AY_sF4_min_first
317,1.0,309,cluster_2,IY_sF4_min
318,1.0,309,cluster_3,CH_avg_dur
319,1.0,309,cluster_4,AE_sF2_max
320,1.0,308,cluster_0,F0_range
321,1.0,308,cluster_1,NG_avg_dur
322,1.0,308,cluster_2,spectral_V_sdev
323,1.0,308,cluster_3,spectral_TH_cog
324,1.0,308,cluster_4,AY_sF3_max_third
325,1.0,307,cluster_0,IY_sF4_max
326,1.0,307,cluster_1,spectral_Z_sdev
327,1.0,307,cluster_2,AE_sF4_min
328,1.0,307,cluster_3,EY_sF2_min_first
329,1.0,307,cluster_4,AO_sF4_min
330,1.0,306,cluster_0,AY_sF4_max_third
331,1.0,306,cluster_1,EY_sF1_mean_third
332,1.0,306,cluster_2,IY_sF3_max
333,1.0,306,cluster_3,AH_sF4_mean_dist
334,1.0,306,cluster_4,AY_sF1_mean_third
335,1.0,305,cluster_0,AY_sF4_max_first
336,1.0,305,cluster_1,EY_sF1_mean_first
337,1.0,305,cluster_2,spectral_V_duration
338,1.0,305,cluster_3,UW_sF3_mean_dist
339,1.0,305,cluster_4,UW_sF1_min
340,1.0,304,cluster_0,AY_sF3_min_first
341,1.0,304,cluster_1,IH_sF1_mean
342,1.0,304,cluster_2,K_avg_dur
343,1.0,304,cluster_3,AA_sF4_mean
344,1.0,304,cluster_4,AO_sF2_max
345,1.0,303,cluster_0,spectral_S_intensity
346,1.0,303,cluster_1,EY_sF4_mean_first
347,1.0,303,cluster_2,AH_sF2_max
348,1.0,303,cluster_3,UW_sF2_min
349,1.0,303,cluster_4,AY_sF1_mean_first
350,1.0,302,cluster_0,IY_sF3_min
351,1.0,302,cluster_1,EY_sF1_max_third
352,1.0,302,cluster_2,EY_sF4_max_third
353,1.0,302,cluster_3,AH_sF3_mean_dist
354,1.0,302,cluster_4,AE_sF2_min
355,1.0,301,cluster_0,AH_sF3_max
356,1.0,301,cluster_1,EY_sF4_max_first
357,1.0,301,cluster_2,EY_sF4_min_first
358,1.0,301,cluster_3,W_avg_dur
359,1.0,301,cluster_4,AE_sF2_mean
360,1.0,300,cluster_0,AY_sF3_min_third
361,1.0,300,cluster_1,AE_sF3_max
362,1.0,300,cluster_2,EY_sF4_mean_first
363,1.0,300,cluster_3,UW_sF1_min
364,1.0,300,cluster_4,AY_sF3_mean_third
