,explained_variance
0,0.08698955594383988
1,0.07155669541451638
2,0.04777433571472826
3,0.04537225963025381
4,0.040985904401899115
5,0.040182335038723406
6,0.03596434916427482
7,0.03570400522183245
8,0.03222184595682609
9,0.02968741504431343
