,feature,grand_importance
189,AO_sF2_max,0.0013984291304933812
190,AA_sF3_mean,0.001393746753007502
191,OW_sF3_max_third,0.001392521871471344
192,UW_sF2_max,0.001352981590976012
193,EY_avg_dur,0.0013274069548663322
194,UW_sF1_mean_dist,0.0013185182008365866
195,AA_sF2_min,0.00131250414422797
196,AO_sF1_mean_dist,0.0013075961826417128
197,AO_sF3_max,0.0013007035255906921
198,EH_sF3_mean,0.0012887284959834189
199,EY_sF2_min_third,0.0012750853070349947
200,AO_sF1_min,0.0012658643185490203
201,OW_sF3_min_first,0.00124540874990329
202,EY_sF1_min_third,0.0012426269997975108
203,AO_sF4_mean_dist,0.0012253978151619046
204,EY_sF3_mean_first,0.0012212924268359213
205,AA_sF3_max,0.0012161185721592277
206,UW_sF3_min,0.0011996307135819849
207,OW_sF3_mean_first,0.001194104258383906
208,AY_sF3_min_first,0.0011899055314066014
209,HH_avg_dur,0.0011866114291077495
210,AO_sF3_min,0.001177869118508259
211,spectral_F_duration,0.0011680393118751996
212,EH_sF4_min,0.0011522295176534304
213,AO_sF2_mean_dist,0.0011320309042519312
214,OW_sF2_min_first,0.0011121084237366013
215,spectral_V_sdev,0.0011049944905485768
216,AO_sF3_mean,0.0011042935920694823
217,AO_sF2_min,0.0010951351309117562
218,AA_sF4_min,0.001089717927540471
219,EY_sF4_min_first,0.0010794886350774975
220,UW_sF4_max,0.001076267579778348
221,UW_sF4_mean,0.0010494311714623992
222,EY_sF2_max_first,0.0010446118476943878
223,AX_sF3_min,0.0010280243248511033
224,OW_sF2_min_third,0.0010128683487957682
225,EH_sF3_mean_dist,0.0009619355924378451
226,spectral_V_duration,0.0009579894216177907
227,OW_sF4_min_first,0.000913641575758096
228,AX_avg_dur,0.0009026037942429939
229,AO_avg_dur,0.000900192263076462
230,AO_sF4_max,0.0008996352945479592
231,EY_sF2_min_first,0.0008978477488669855
232,G_avg_dur,0.0008763819087507457
233,OW_sF3_mean_third,0.0008747166715204776
234,OW_sF4_mean_first,0.0008519466876868438
235,OW_sF4_max_first,0.0008425793388366717
236,EY_sF3_min_first,0.000816496330197428
237,Y_avg_dur,0.0008160863651994701
238,AX_sF2_max,0.0008058309224858237
239,AX_sF4_min,0.0007959875556837661
240,EY_sF4_max_first,0.0007880470367534664
241,EY_sF4_mean_first,0.000787649316984462
242,AW_sF3_min_third,0.0007848930264173425
243,OW_sF2_mean_third,0.000781542899774232
244,spectral_JH_cog,0.0007780595865209373
245,AX_sF4_mean,0.000777674424323304
246,B_avg_dur,0.0007763991024404189
247,AO_sF3_mean_dist,0.0007723164104060796
248,AO_sF1_mean,0.0007637129066298211
249,EY_sF4_max_third,0.0007619076555227344
250,AO_sF1_max,0.0007330466041675581
251,AX_sF3_mean,0.0007277772259629916
252,EY_sF3_min_third,0.0007277467196672813
253,OW_sF4_min_third,0.0007220287196583768
254,EY_sF2_mean_first,0.0007206067736115862
255,AW_sF3_mean_first,0.0007120703644591573
256,EY_sF3_mean_third,0.0007106992442271034
257,AW_sF4_max_first,0.0006861562331938373
258,EY_sF3_max_third,0.0006814783760401947
259,AW_sF4_max_third,0.0006776050461734429
260,AW_sF2_min_first,0.0006772207537764473
261,AX_sF1_max,0.0006681465327126952
262,AW_sF4_mean_third,0.0006597762847338037
263,AX_sF1_min,0.0006593152915682864
264,EY_sF2_max_third,0.0006580479767821464
265,AW_sF4_min_third,0.0006427445680661754
266,AW_sF3_max_third,0.0006378194849388449
267,AW_sF4_min_first,0.0006330965203111528
268,EY_sF4_min_third,0.000616262837601275
269,AX_sF4_mean_dist,0.0006136258190983428
270,EY_sF3_max_first,0.0006030959931722658
271,AX_sF1_mean_dist,0.0006020290951254025
272,spectral_JH_duration,0.0006015181501889113
273,EY_sF4_mean_third,0.0005972387182512508
274,AX_sF2_mean,0.0005937442632338024
275,AX_sF3_mean_dist,0.0005933768973668792
276,OW_sF4_max_third,0.0005930840149930708
277,OW_sF2_max_first,0.0005909945427753729
278,AX_sF2_min,0.0005888418865087451
279,OW_sF2_mean_first,0.0005755249415745391
280,AX_sF4_max,0.0005744592708334293
281,AW_sF1_max_first,0.0005719440799908026
282,OW_sF4_mean_third,0.0005567109937793493
283,AW_sF1_mean_third,0.0005352291347344386
284,OW_avg_dur,0.0005285185927506612
285,AW_sF2_mean_third,0.0005148163247243497
286,OW_sF2_max_third,0.000512119278397738
287,AW_sF4_mean_first,0.0005068179630891796
288,AW_sF1_max_third,0.0005064611645097661
289,AX_sF2_mean_dist,0.00048782258098711725
290,AW_sF3_min_first,0.0004816410922723148
291,AW_sF1_mean_first,0.0004719603622613959
292,spectral_JH_skew,0.00046321881743812353
293,AW_sF2_min_third,0.0004565637614460259
294,AW_sF1_min_third,0.0004547307700229381
295,AX_sF1_mean,0.00045461037432547354
296,AW_sF2_mean_first,0.0004539599278479195
297,EY_sF2_mean_third,0.00044768342813390966
298,AW_sF3_max_first,0.0004448114167686828
299,spectral_JH_intensity,0.0004411434076770438
300,AW_sF3_mean_third,0.00041891234469206543
301,AW_sF2_max_first,0.0004169372427758424
302,AW_avg_dur,0.0003722647362656328
303,spectral_JH_kurt,0.0003377013950558802
304,CH_avg_dur,0.00031877845537373024
305,spectral_SH_intensity,0.0003085492032153699
306,AW_sF1_min_first,0.00030664554353138437
307,spectral_SH_skew,0.00029446204636526124
308,AW_sF2_max_third,0.0002670642753563972
309,OY_sF2_min_third,0.0002345432854963021
310,spectral_SH_cog,0.00023304560010533712
311,OY_sF1_max_first,0.00023016453191816716
312,OY_sF4_max_third,0.00022652389149318983
313,spectral_SH_kurt,0.00021714740338872984
314,OY_sF1_mean_first,0.0002164653240818966
315,OY_sF3_max_third,0.00020839075957300237
316,spectral_JH_sdev,0.00020369284466258795
317,UH_sF3_min,0.00017747340824809019
318,UH_sF4_min,0.0001773472060125458
319,OY_sF3_mean_third,0.00017559700212952867
320,OY_sF1_mean_third,0.00017369708346550483
321,UH_sF3_mean,0.0001716831826664732
322,UH_avg_dur,0.00016863719093789312
323,OY_sF1_max_third,0.00016719821921335528
324,UH_sF2_max,0.00016633067193660416
325,OY_sF3_min_first,0.00016483120793963014
326,UH_sF4_mean,0.00015570877748189723
327,UH_sF1_max,0.0001522020103812555
328,UH_sF2_min,0.00015091943425196862
329,OY_sF3_mean_first,0.00013765659468756907
330,OY_sF4_mean_third,0.000137336774942973
331,OY_sF4_mean_first,0.00013494974563541868
332,UH_sF4_mean_dist,0.00013373082514656282
333,OY_sF4_min_first,0.0001209963488058603
334,UH_sF4_max,0.00011913615515280198
335,OY_sF1_min_first,0.00010944354517128206
336,spectral_SH_sdev,0.00010791857964869418
337,OY_sF2_min_first,0.00010747007456965994
338,UH_sF1_mean,0.00010457248618357214
339,UH_sF2_mean,0.00010320475538075782
340,OY_sF3_min_third,0.00010184483107608158
341,UH_sF1_min,9.31233039528724e-05
342,OY_sF2_max_third,9.10448241756514e-05
343,UH_sF1_mean_dist,8.91746618172502e-05
344,OY_sF1_min_third,8.693100431948769e-05
345,spectral_SH_duration,8.430061081541737e-05
346,UH_sF3_max,8.3008109962588e-05
347,OY_sF4_min_third,6.336481496244707e-05
348,UH_sF3_mean_dist,6.1992149313147e-05
349,OY_sF2_mean_first,5.968009056035348e-05
350,OY_avg_dur,5.715571612735292e-05
351,OY_sF2_max_first,5.204628328601439e-05
352,UH_sF2_mean_dist,4.893111784792103e-05
353,OY_sF4_max_first,2.094834564589726e-05
354,OY_sF2_mean_third,1.865550615027464e-05
355,AR_avg_dur,0.0
356,EL_avg_dur,0.0
357,H_avg_dur,0.0
358,ZH_avg_dur,0.0
359,OY_sF3_max_first,0.0
360,rando,0.0
361,rando_baseline_z_score,0.0
