,accuracy,n_features,kind,removed_feature
133,1.0,239,grand_raw,IY_sF4_mean_dist
134,1.0,238,grand_raw,AY_sF3_max_third
135,1.0,237,grand_raw,AH_sF2_min
136,1.0,236,grand_raw,EY_sF4_min_third
137,1.0,235,grand_raw,EY_sF4_max_first
138,1.0,234,grand_raw,EH_sF4_min
139,1.0,233,grand_raw,EY_sF4_max_third
140,1.0,232,grand_raw,AE_sF4_mean_dist
141,1.0,231,grand_raw,IY_sF2_min
142,1.0,230,grand_raw,AA_sF1_mean
143,1.0,229,grand_raw,spectral_DH_cog
144,1.0,228,grand_raw,spectral_DH_sdev
145,1.0,227,grand_raw,EY_sF3_mean_first
146,1.0,226,grand_raw,spectral_V_cog
147,1.0,225,grand_raw,EY_sF1_max_first
148,1.0,224,grand_raw,EY_sF3_mean_third
149,1.0,223,grand_raw,EY_sF1_max_third
150,1.0,222,grand_raw,T_avg_dur
151,1.0,221,grand_raw,UW_sF4_mean_dist
152,1.0,220,grand_raw,UW_sF1_min
153,1.0,219,grand_raw,spectral_V_skew
154,1.0,218,grand_raw,W_avg_dur
155,1.0,217,grand_raw,AH_sF1_mean_dist
156,1.0,216,grand_raw,AE_sF2_mean_dist
157,1.0,215,grand_raw,AE_sF1_mean
158,1.0,214,grand_raw,spectral_V_sdev
159,1.0,213,grand_raw,spectral_V_duration
160,1.0,212,grand_raw,AE_sF3_mean_dist
161,1.0,211,grand_raw,AH_sF4_mean_dist
162,1.0,210,grand_raw,UW_sF3_mean_dist
163,1.0,209,grand_raw,UW_sF1_mean_dist
164,1.0,208,grand_raw,D_avg_dur
165,1.0,207,grand_raw,IH_sF1_mean_dist
166,1.0,206,grand_raw,AE_sF1_max
167,1.0,205,grand_raw,IY_sF3_mean_dist
168,1.0,204,grand_raw,NG_avg_dur
169,1.0,203,grand_raw,M_avg_dur
170,1.0,202,grand_raw,AY_sF3_mean_third
171,1.0,201,grand_raw,AY_sF3_mean_first
172,1.0,200,grand_raw,UW_avg_dur
173,1.0,199,grand_raw,AY_sF3_min_first
174,1.0,198,grand_raw,AY_sF3_min_third
175,1.0,197,grand_raw,R_avg_dur
176,1.0,196,grand_raw,L_avg_dur
177,1.0,195,grand_raw,AE_avg_dur
178,1.0,194,grand_raw,HH_avg_dur
179,1.0,193,grand_raw,AE_sF1_min
180,1.0,192,grand_raw,P_avg_dur
181,0.9850282003076397,191,grand_raw,spectral_S_intensity
182,0.9851649290719535,190,grand_raw,spectral_Z_skew
183,0.9849940181165613,189,grand_raw,spectral_Z_duration
184,0.9850623824987181,188,grand_raw,EH_sF2_min
185,0.9849256537344043,187,grand_raw,spectral_Z_sdev
186,0.9850965646897966,186,grand_raw,spectral_Z_kurt
187,0.9850623824987181,185,grand_raw,spectral_Z_intensity
188,0.9849940181165613,184,grand_raw,spectral_F_sdev
189,0.9852674756451889,183,grand_raw,spectral_F_cog
190,0.9851307468808751,182,grand_raw,spectral_F_skew
191,0.9851649290719535,181,grand_raw,spectral_F_duration
192,0.9849256537344043,180,grand_raw,spectral_F_kurt
193,0.970022218424201,179,grand_raw,rando
194,0.9698854896598872,178,grand_raw,G_avg_dur
195,0.9652367116732182,177,grand_raw,EH_sF1_mean_dist
196,0.9652367116732182,176,grand_raw,EH_sF3_mean_dist
197,0.9652367116732182,175,grand_raw,EH_sF2_mean
198,0.9652367116732182,174,grand_raw,EH_sF3_min
199,0.933105452059477,173,grand_raw,Y_avg_dur
200,0.933105452059477,172,grand_raw,spectral_TH_kurt
201,0.933105452059477,171,grand_raw,spectral_TH_skew
202,0.933105452059477,170,grand_raw,spectral_TH_sdev
203,0.933105452059477,169,grand_raw,spectral_TH_cog
204,0.933105452059477,168,grand_raw,spectral_TH_duration
205,0.9022389335156383,167,grand_raw,B_avg_dur
206,0.8843958297726884,166,grand_raw,AX_sF2_max
207,0.8843958297726884,165,grand_raw,AX_sF1_max
208,0.8843958297726884,164,grand_raw,spectral_JH_cog
209,0.8843958297726884,163,grand_raw,spectral_JH_duration
210,0.8843958297726884,162,grand_raw,EY_sF1_mean_first
211,0.8843958297726884,161,grand_raw,EY_sF1_mean_third
212,0.8843958297726884,160,grand_raw,EY_avg_dur
213,0.8843958297726884,159,grand_raw,AX_sF2_mean
214,0.8843958297726884,158,grand_raw,EY_sF3_min_third
215,0.8843958297726884,157,grand_raw,EY_sF3_max_first
216,0.8843958297726884,156,grand_raw,EY_sF3_max_third
217,0.8843958297726884,155,grand_raw,EY_sF2_max_first
218,0.8843958297726884,154,grand_raw,EY_sF2_max_third
219,0.8843958297726884,153,grand_raw,EY_sF3_min_first
220,0.8843958297726884,152,grand_raw,EY_sF2_mean_third
221,0.8843958297726884,151,grand_raw,EY_sF2_mean_first
222,0.8843958297726884,150,grand_raw,EY_sF1_min_third
223,0.8843958297726884,149,grand_raw,EY_sF1_min_first
224,0.8843958297726884,148,grand_raw,EY_sF2_min_first
225,0.8843958297726884,147,grand_raw,EY_sF2_min_third
226,0.8420099128354127,146,grand_raw,AX_avg_dur
227,0.8420099128354127,145,grand_raw,AA_sF4_min
228,0.8420099128354127,144,grand_raw,AA_sF4_mean
229,0.8420099128354127,143,grand_raw,AA_sF3_mean
230,0.8420099128354127,142,grand_raw,AA_sF4_max
231,0.8420099128354127,141,grand_raw,AA_sF3_max
232,0.8420099128354127,140,grand_raw,AA_sF3_mean_dist
233,0.8420099128354127,139,grand_raw,AX_sF3_mean_dist
234,0.8420099128354127,138,grand_raw,AX_sF2_mean_dist
235,0.8420099128354127,137,grand_raw,AX_sF4_mean_dist
236,0.8420099128354127,136,grand_raw,AX_sF1_mean_dist
237,0.8420099128354127,135,grand_raw,AX_sF2_min
238,0.8160314476157922,134,grand_raw,AA_sF1_min
239,0.8160314476157922,133,grand_raw,AA_sF1_max
240,0.8160314476157922,132,grand_raw,AA_avg_dur
241,0.8160314476157922,131,grand_raw,AA_sF2_min
242,0.8160314476157922,130,grand_raw,AA_sF4_mean_dist
243,0.8160314476157922,129,grand_raw,AA_sF2_max
244,0.8160314476157922,128,grand_raw,AA_sF2_mean
245,0.8160314476157922,127,grand_raw,AA_sF2_mean_dist
246,0.8160314476157922,126,grand_raw,AA_sF1_mean_dist
247,0.7759015552896941,125,grand_raw,CH_avg_dur
248,0.7653734404375321,124,grand_raw,spectral_JH_skew
249,0.7653734404375321,123,grand_raw,spectral_JH_kurt
250,0.7653734404375321,122,grand_raw,spectral_JH_intensity
