,explained_variance
0,31.77758558807406
1,26.16769553451169
2,17.295119085568526
3,16.601533342653372
4,14.85732874330349
5,14.491584786525378
6,13.123742591671432
7,13.054045008374286
8,11.679957484698495
9,10.842143614303835
