,explained_variance
0,0.08716959082684647
1,0.07170456973048521
2,0.047422366833378915
3,0.04551422499040031
4,0.04076472904919752
5,0.03971848105524899
6,0.035982836386445616
7,0.03582109126933009
8,0.031991391408787456
9,0.02969980358319259
