,explained_variance
0,0.08683024757039291
1,0.07173105711658416
2,0.04769859246385451
3,0.04528765445625928
4,0.040964522160714965
5,0.0402236885857919
6,0.03599196473227978
7,0.03564446388691897
8,0.032203410098343925
9,0.029698972446293357
