,feature,importance_cluster_2
0,AH_sF3_max,0.03261634003466748
1,AE_sF1_mean_dist,0.02495423988653223
2,F0_mean,0.022729170175509322
3,IH_sF3_max,0.019394988717717544
4,AE_sF3_max,0.018728672555297646
5,IH_sF3_mean,0.018222193537127673
6,F0_10,0.01747118193241079
7,AH_sF3_mean,0.016696437948428816
8,AX_sF3_max,0.01578419339964098
9,IH_sF3_min,0.01563704410678111
10,AH_sF4_min,0.013768522429599337
11,IH_sF4_max,0.012385590908478546
12,UW_sF2_mean_dist,0.012324888068030178
13,AY_sF4_max_third,0.011092421024319073
14,AH_sF1_mean,0.011009283490150922
15,UW_sF4_min,0.010140664868961528
16,spectral_S_duration,0.009885435046447379
17,spectral_V_intensity,0.009876219992973482
18,spectral_S_cog,0.009710765322983088
19,AY_sF4_max_first,0.009636400580882961
20,IY_sF4_mean,0.009496172382291996
21,UW_sF2_min,0.009441162018861925
22,IY_sF4_max,0.00937900817248244
23,D_avg_dur,0.008621800285066155
24,AX_sF3_mean,0.008219460850962233
25,AE_sF3_mean,0.007961770776514304
26,AY_sF4_mean_third,0.007744884313408967
27,EH_sF2_max,0.007603935940569281
28,IH_sF1_mean,0.007503515087996892
29,AH_sF1_mean_dist,0.007484220879420416
30,AY_sF2_min_first,0.0071936198338167475
31,AH_sF3_min,0.007126856429340751
32,AY_sF4_mean_first,0.00709088866046889
33,AO_sF2_max,0.007026422768832214
34,AO_sF4_mean,0.006982351122193622
35,spectral_S_skew,0.006882575882914173
36,AH_sF4_mean,0.006867403621742045
37,UW_sF3_min,0.006861071702214834
38,IH_sF4_mean,0.006838932453442824
39,IH_sF2_min,0.006633635798254944
40,AO_sF4_min,0.006493605271417612
41,AY_sF2_min_third,0.006344896716597285
42,AO_sF4_max,0.006255389595705112
43,AH_sF1_max,0.006229600985200978
44,IH_sF1_min,0.006067660429322568
45,IY_sF1_mean,0.005892379193151202
46,IH_sF2_max,0.005814387766199305
47,UW_sF4_mean,0.005738561974317262
48,IH_sF4_mean_dist,0.0056759781546552954
49,AH_sF1_min,0.005619533725397685
50,IY_sF4_min,0.005522748976259165
51,AE_sF4_mean_dist,0.005441857906479415
52,IH_sF2_mean,0.005421426120284624
53,UW_sF1_min,0.005375081314056256
54,EY_sF4_min_first,0.005317099875415148
55,EY_sF4_mean_third,0.005267619766555141
56,AH_sF4_max,0.004967264769946024
57,IY_sF3_mean,0.004856820724076091
58,IH_sF4_min,0.0048412788896458735
59,vowel_avg_dur,0.004604924373264701
60,AY_sF2_max_third,0.004596911474992446
61,EY_sF4_min_third,0.004587102503588506
62,IH_sF1_max,0.004557911055536131
63,AE_sF3_min,0.004523684552512858
64,AE_sF1_max,0.004501231321333051
65,AY_sF1_mean_first,0.004459164030813667
66,IH_sF2_mean_dist,0.0043006544041615455
67,EY_sF4_mean_first,0.004279856080994604
68,IY_sF1_max,0.004276417057896587
69,IH_sF3_mean_dist,0.004240696191981653
70,EY_sF4_max_third,0.004209716599935113
71,AE_sF2_min,0.00420381503361647
72,AY_sF2_mean_third,0.00407028627603031
73,F0_90,0.003995922746567239
74,AE_sF3_mean_dist,0.003944107272830311
75,AY_sF1_min_third,0.003917610074300846
76,AY_sF1_min_first,0.0038135708414546764
77,IH_avg_dur,0.0038068215478509458
78,spectral_V_sdev,0.0037751512260146376
79,spectral_V_duration,0.003733305371990607
80,AY_sF2_mean_first,0.0037001379579229676
81,IY_sF1_min,0.0036059446841493876
82,AH_sF4_mean_dist,0.0036035152786134477
83,AO_sF2_mean,0.0035398530294863035
84,EH_sF2_mean,0.0035190695923863055
85,AY_sF1_max_third,0.0035035931690147507
86,EY_sF4_max_first,0.003433557842728291
87,AE_sF4_min,0.003375019159719027
88,UW_sF1_mean,0.0033529247591310225
89,AH_sF2_mean,0.0033470752644778803
90,AH_sF2_min,0.003310941956265312
91,AY_sF1_max_first,0.0033073917440122457
92,AE_sF2_mean_dist,0.0033029752481108757
93,AH_avg_dur,0.0032445808159617703
94,spectral_S_intensity,0.003238682156885045
95,K_avg_dur,0.0032377380738834306
96,AE_sF2_max,0.0032045443900062865
97,AE_sF1_mean,0.0031610752456442937
98,AO_sF1_mean_dist,0.0031484587198386494
99,IH_sF1_mean_dist,0.0031342206484461115
100,AY_sF1_mean_third,0.0030591314936909363
101,AY_sF2_max_first,0.00303641868275712
102,EY_sF3_max_third,0.0030057512963040114
103,IY_sF2_mean_dist,0.002964429817605367
104,R_avg_dur,0.002896405959829367
105,EH_sF3_max,0.0027690882274777934
106,IY_sF3_mean_dist,0.002749150001680022
107,AH_sF2_max,0.0027418099677625524
108,UW_sF1_max,0.0027344024841795397
109,IY_sF4_mean_dist,0.002678362573933474
110,spectral_V_cog,0.0026514628008796424
111,IY_sF2_min,0.0026481046864206058
112,AE_avg_dur,0.002645425854294034
113,spectral_F_duration,0.002606478300635198
114,AH_sF3_mean_dist,0.002593303507911207
115,AH_sF2_mean_dist,0.0025893612301258655
116,EH_sF4_max,0.0025820746333502314
117,spectral_Z_kurt,0.002544334717756936
118,IY_sF3_max,0.0025442440697196374
119,spectral_S_kurt,0.0024885626390889967
120,UW_sF4_mean_dist,0.002487087579958663
121,F0_std,0.002443542381272202
122,UW_sF2_mean,0.0024384016401830235
123,UW_avg_dur,0.0024341341544105847
124,ER_avg_dur,0.002422507725241054
125,AE_sF4_mean,0.002421246215081479
126,spectral_Z_skew,0.0024044102728881063
127,N_avg_dur,0.002373259849462519
128,L_avg_dur,0.0023394806137148785
129,HH_avg_dur,0.0023343621958309664
130,UW_sF2_max,0.0023267759688621738
131,spectral_Z_intensity,0.0022897102461974157
132,AO_sF1_max,0.0022408921618535796
133,IY_sF1_mean_dist,0.0022390136296019264
134,AO_sF1_mean,0.0022207036760833253
135,AO_sF1_min,0.002217622955555164
136,AE_sF2_mean,0.0021997197402539408
137,UW_sF3_mean,0.0021872765810156966
138,EY_sF3_mean_third,0.0021797978242337587
139,UW_sF3_mean_dist,0.0021346070981624323
140,F0_range,0.002070703246801217
141,spectral_Z_cog,0.002056625461410423
142,UW_sF3_max,0.0020555113782776903
143,AY_avg_dur,0.002046197905390221
144,IY_avg_dur,0.0020334570632015814
145,UW_sF4_max,0.0020203555145864352
146,EY_sF3_max_first,0.0020139541033869514
147,spectral_V_skew,0.0019975573409730073
148,spectral_V_kurt,0.0019944859032415383
149,AA_sF1_min,0.0019304976804801126
150,AO_avg_dur,0.0019140394069671505
151,AX_sF3_min,0.0018850895530010368
152,EY_sF3_mean_first,0.0018649344507169427
153,OW_sF1_max_first,0.0018393705888222669
154,IY_sF2_mean,0.0018364326594879506
155,UW_sF1_mean_dist,0.0018132211039422004
156,AY_sF4_min_third,0.0017995606222556085
157,EH_sF3_mean,0.0017852688264454394
158,AX_sF4_mean,0.001749568298368485
159,AY_sF4_min_first,0.001739568087554117
160,OW_sF1_mean_third,0.0017247167304349006
161,percent_creak,0.001722942016187974
162,G_avg_dur,0.0016715956832991847
163,AO_sF3_mean_dist,0.001667124678390547
164,AX_sF4_max,0.0016455284137467585
165,EH_sF1_min,0.0016410412860496503
166,EH_sF1_mean_dist,0.0016392465742284677
167,EH_sF1_mean,0.001623269133590009
168,OW_sF3_mean_first,0.0016096643063987985
169,AX_sF2_min,0.001600923265412929
170,W_avg_dur,0.0015805294543778207
171,EH_sF3_min,0.0015655276490927257
172,EH_sF4_min,0.001550030217622712
173,DH_avg_dur,0.0015329644120777638
174,IY_sF3_min,0.0015253326406530737
175,spectral_Z_sdev,0.0015240304159967616
176,AY_sF3_max_third,0.001505844383078344
177,AY_sF3_max_first,0.0014958332438409646
178,AX_sF4_mean_dist,0.0014951912492450095
179,EH_sF4_mean_dist,0.0014779788055893567
180,AY_sF3_min_first,0.0014303611155354488
181,T_avg_dur,0.0014295796085191466
182,AX_sF1_max,0.001425144691738372
183,AA_sF3_min,0.0014226219858041564
184,OW_sF1_mean_first,0.001405029140749297
185,EY_sF1_min_first,0.00139856602320359
186,spectral_S_sdev,0.0013815291318524682
187,EH_sF1_max,0.001360436674837917
188,AE_sF4_max,0.0013145892787086114
189,EH_sF4_mean,0.00130831248790683
190,AX_sF1_min,0.0012975345217460087
191,OW_sF3_max_first,0.001297463917503986
192,OW_sF3_mean_third,0.0012804378781813032
193,AO_sF3_mean,0.001273751147528048
194,AW_sF2_max_first,0.0012715223768109104
195,AX_sF3_mean_dist,0.001258604334368315
196,EH_sF2_min,0.001252727935235298
197,OW_sF1_min_first,0.0012409152388366805
198,AX_sF1_mean,0.0012144071305894332
199,AW_sF3_max_third,0.001208234812799601
200,AA_sF4_min,0.0011777142101620094
201,NG_avg_dur,0.0011642103552027732
202,AY_sF3_mean_third,0.0011557630341673551
203,EH_avg_dur,0.001150313654962623
204,EY_avg_dur,0.0011502664020977438
205,AX_sF4_min,0.001132078445814312
206,AW_sF2_min_first,0.001131229641860496
207,AO_sF2_mean_dist,0.0011252625848196542
208,spectral_Z_duration,0.0011031662866426016
209,EH_sF3_mean_dist,0.0010940374449878274
210,AX_sF2_mean_dist,0.0010913385304560908
211,AW_sF3_mean_third,0.001085403001588124
212,AY_sF3_min_third,0.0010848503439219645
213,OW_sF4_mean_first,0.001083997983581257
214,spectral_F_intensity,0.0010652911067496635
215,spectral_JH_kurt,0.001055659708976151
216,AW_sF3_min_third,0.001041525518803934
217,EY_sF1_max_third,0.0010320047513175535
218,OW_sF3_min_third,0.0010234928954202908
219,AY_sF3_mean_first,0.001020551268863244
220,AX_sF2_mean,0.0010168612037271946
221,AO_sF2_min,0.0010159074828109502
222,EY_sF1_mean_first,0.0010014023917446317
223,spectral_F_kurt,0.00098093367995281
224,AO_sF3_min,0.0009723364245303915
225,OW_sF1_min_third,0.000963209770980447
226,AE_sF1_min,0.0009459927396000675
227,spectral_F_sdev,0.0009443652198421182
228,AO_sF4_mean_dist,0.0009263784225184444
229,OW_sF1_max_third,0.0009089420616359384
230,AX_avg_dur,0.0008895560484311628
231,AA_sF4_max,0.0008787762726769352
232,AO_sF3_max,0.0008750040833209045
233,EY_sF1_mean_third,0.0008706791941407132
234,EY_sF3_min_third,0.0008585511781210424
235,OW_sF4_min_first,0.0008463939713122061
236,OW_sF4_mean_third,0.0008411726297421729
237,Y_avg_dur,0.0008239145822626165
238,OW_sF2_mean_third,0.0008197974040088841
239,EY_sF1_max_first,0.000811104508149672
240,spectral_JH_intensity,0.0008072475241663909
241,EH_sF2_mean_dist,0.0008070415919995752
