,explained_variance
0,31.7777723599153
1,26.399793433428577
2,17.302984783499497
3,16.579790700349875
4,14.862878387028324
5,14.492332959688095
6,13.143866033588566
7,13.047764680844093
8,11.673207404669832
9,10.850201308322386
