,accuracy,n_features,kind,feature_name
107,0.8650145274312083,1,cluster_2,F_avg_dur
108,0.907400444368484,1,cluster_3,F_avg_dur
109,0.9082891813365237,1,cluster_4,F_avg_dur
110,0.8489147154332592,1,cluster_0,G_avg_dur
111,0.7278755768244745,1,cluster_1,G_avg_dur
112,0.8189027516663818,1,cluster_2,G_avg_dur
113,0.8625875918646385,1,cluster_3,G_avg_dur
114,0.8630661425397368,1,cluster_4,G_avg_dur
115,0.7888224235173474,1,cluster_0,H_avg_dur
116,0.6975217911468126,1,cluster_1,H_avg_dur
117,0.8037258588275509,1,cluster_2,H_avg_dur
118,0.8468637839685523,1,cluster_3,H_avg_dur
119,0.8630661425397368,1,cluster_4,H_avg_dur
120,0.8033840369167664,1,cluster_0,HH_avg_dur
121,0.7718680567424372,1,cluster_1,HH_avg_dur
122,0.8489488976243377,1,cluster_2,HH_avg_dur
123,0.8468637839685523,1,cluster_3,HH_avg_dur
124,0.8781063066142539,1,cluster_4,HH_avg_dur
125,0.8933515638352418,1,cluster_0,IH_avg_dur
126,0.8631003247308152,1,cluster_1,IH_avg_dur
127,0.9247991796274141,1,cluster_2,IH_avg_dur
128,0.92356862074859,1,cluster_3,IH_avg_dur
129,0.9692360280293967,1,cluster_4,IH_avg_dur
130,0.8783113997607247,1,cluster_0,IY_avg_dur
131,0.8175354640232438,1,cluster_1,IY_avg_dur
132,0.910374294992309,1,cluster_2,IY_avg_dur
133,0.8933173816441634,1,cluster_3,IY_avg_dur
134,0.9092121004956417,1,cluster_4,IY_avg_dur
135,0.8037258588275509,1,cluster_0,JH_avg_dur
136,0.727465390531533,1,cluster_1,JH_avg_dur
137,0.8179456503161853,1,cluster_2,JH_avg_dur
138,0.8468637839685523,1,cluster_3,JH_avg_dur
139,0.8937617501281833,1,cluster_4,JH_avg_dur
140,0.8489488976243377,1,cluster_0,K_avg_dur
141,0.8799863271235686,1,cluster_1,K_avg_dur
142,0.8780721244231755,1,cluster_2,K_avg_dur
143,0.9082891813365237,1,cluster_3,K_avg_dur
144,0.8940010254657323,1,cluster_4,K_avg_dur
145,0.849427448299436,1,cluster_0,L_avg_dur
146,0.8179114681251068,1,cluster_1,L_avg_dur
147,0.8949239446248505,1,cluster_2,L_avg_dur
148,0.8927704665869082,1,cluster_3,L_avg_dur
149,0.9391898820714408,1,cluster_4,L_avg_dur
150,0.8646385233293454,1,cluster_0,M_avg_dur
151,0.774294992309007,1,cluster_1,M_avg_dur
152,0.8479576140830627,1,cluster_2,M_avg_dur
153,0.8929755597333789,1,cluster_3,M_avg_dur
154,0.8936933857460263,1,cluster_4,M_avg_dur
155,0.924183900188002,1,cluster_0,N_avg_dur
156,0.8939668432746539,1,cluster_1,N_avg_dur
157,0.909075371731328,1,cluster_2,N_avg_dur
158,0.9549478721586053,1,cluster_3,N_avg_dur
159,0.9540249529994873,1,cluster_4,N_avg_dur
160,0.8186292941377542,1,cluster_0,NG_avg_dur
161,0.8020167492736284,1,cluster_1,NG_avg_dur
162,0.8037258588275509,1,cluster_2,NG_avg_dur
163,0.8772175696462143,1,cluster_3,NG_avg_dur
164,0.893898478892497,1,cluster_4,NG_avg_dur
165,0.8643650658007178,1,cluster_0,OW_avg_dur
166,0.7425055546060503,1,cluster_1,OW_avg_dur
167,0.8349000170910955,1,cluster_2,OW_avg_dur
168,0.8769099299265083,1,cluster_3,OW_avg_dur
169,0.8935566569817125,1,cluster_4,OW_avg_dur
170,0.7888224235173474,1,cluster_0,OY_avg_dur
171,0.7131088702785848,1,cluster_1,OY_avg_dur
172,0.8037258588275509,1,cluster_2,OY_avg_dur
173,0.8468637839685523,1,cluster_3,OY_avg_dur
174,0.8781063066142539,1,cluster_4,OY_avg_dur
175,0.8644676123739532,1,cluster_0,P_avg_dur
176,0.7888224235173474,1,cluster_1,P_avg_dur
177,0.8193471201504017,1,cluster_2,P_avg_dur
178,0.8776277559391557,1,cluster_3,P_avg_dur
179,0.8780721244231755,1,cluster_4,P_avg_dur
180,0.8488805332421808,1,cluster_0,R_avg_dur
181,0.8179114681251068,1,cluster_1,R_avg_dur
182,0.8172620064946163,1,cluster_2,R_avg_dur
183,0.8771492052640574,1,cluster_3,R_avg_dur
184,0.9696803965134165,1,cluster_4,R_avg_dur
185,0.8942403008032815,1,cluster_0,S_avg_dur
186,0.8492565373440437,1,cluster_1,S_avg_dur
187,0.924867544009571,1,cluster_2,S_avg_dur
188,0.9223380618697659,1,cluster_3,S_avg_dur
189,0.9391898820714408,1,cluster_4,S_avg_dur
190,0.8037258588275509,1,cluster_0,SH_avg_dur
191,0.7426081011792856,1,cluster_1,SH_avg_dur
192,0.8037258588275509,1,cluster_2,SH_avg_dur
193,0.8468637839685523,1,cluster_3,SH_avg_dur
194,0.8782430353785677,1,cluster_4,SH_avg_dur
195,0.9399418902751666,1,cluster_0,T_avg_dur
196,0.9244573577166296,1,cluster_1,T_avg_dur
197,0.9556998803623312,1,cluster_2,T_avg_dur
198,0.9846180140146984,1,cluster_3,T_avg_dur
199,0.954537685865664,1,cluster_4,T_avg_dur
200,0.8179114681251068,1,cluster_0,TH_avg_dur
201,0.7574089899162536,1,cluster_1,TH_avg_dur
202,0.8187318407109896,1,cluster_2,TH_avg_dur
203,0.8921210049564177,1,cluster_3,TH_avg_dur
204,0.8630661425397368,1,cluster_4,TH_avg_dur
205,0.8041018629294138,1,cluster_0,UH_avg_dur
206,0.743018287472227,1,cluster_1,UH_avg_dur
207,0.8037258588275509,1,cluster_2,UH_avg_dur
208,0.8468637839685523,1,cluster_3,UH_avg_dur
209,0.8780721244231755,1,cluster_4,UH_avg_dur
210,0.8487096222867886,1,cluster_0,UW_avg_dur
211,0.7571355323876261,1,cluster_1,UW_avg_dur
212,0.9095197402153478,1,cluster_2,UW_avg_dur
213,0.8617672192787558,1,cluster_3,UW_avg_dur
214,0.9090070073491711,1,cluster_4,UW_avg_dur
215,0.8491881729618869,1,cluster_0,V_avg_dur
216,0.7283541274995727,1,cluster_1,V_avg_dur
217,0.8485045291403179,1,cluster_2,V_avg_dur
218,0.8615621261322851,1,cluster_3,V_avg_dur
219,0.9235344385575115,1,cluster_4,V_avg_dur
220,0.8328149034353102,1,cluster_0,W_avg_dur
221,0.7875918646385234,1,cluster_1,W_avg_dur
222,0.8349000170910955,1,cluster_2,W_avg_dur
223,0.9096222867885831,1,cluster_3,W_avg_dur
224,0.9084942744829944,1,cluster_4,W_avg_dur
225,0.8038625875918647,1,cluster_0,Y_avg_dur
226,0.772996069048026,1,cluster_1,Y_avg_dur
227,0.8634763288326782,1,cluster_2,Y_avg_dur
228,0.8468637839685523,1,cluster_3,Y_avg_dur
229,0.8937617501281833,1,cluster_4,Y_avg_dur
230,0.880020509314647,1,cluster_0,Z_avg_dur
231,0.8330541787728594,1,cluster_1,Z_avg_dur
232,0.8643992479917962,1,cluster_2,Z_avg_dur
233,0.8614937617501282,1,cluster_3,Z_avg_dur
234,0.9088360963937788,1,cluster_4,Z_avg_dur
235,0.7888224235173474,1,cluster_0,ZH_avg_dur
236,0.6975217911468126,1,cluster_1,ZH_avg_dur
237,0.8037258588275509,1,cluster_2,ZH_avg_dur
238,0.8468637839685523,1,cluster_3,ZH_avg_dur
239,0.8630661425397368,1,cluster_4,ZH_avg_dur
240,1.0,1,cluster_0,vowel_avg_dur
241,1.0,1,cluster_1,vowel_avg_dur
242,1.0,1,cluster_2,vowel_avg_dur
243,1.0,1,cluster_3,vowel_avg_dur
244,1.0,1,cluster_4,vowel_avg_dur
245,0.8190736626217741,1,cluster_0,AA_sF1_mean
246,0.7586053666039994,1,cluster_1,AA_sF1_mean
247,0.8345240129892326,1,cluster_2,AA_sF1_mean
248,0.9231584344556486,1,cluster_3,AA_sF1_mean
249,0.8935566569817125,1,cluster_4,AA_sF1_mean
250,0.834626559562468,1,cluster_0,AE_sF1_mean
251,0.8340796445052128,1,cluster_1,AE_sF1_mean
252,0.9099299265082892,1,cluster_2,AE_sF1_mean
253,0.9234660741753546,1,cluster_3,AE_sF1_mean
254,0.9397026149376175,1,cluster_4,AE_sF1_mean
255,0.9704324047171423,1,cluster_0,AH_sF1_mean
256,0.8944453939497522,1,cluster_1,AH_sF1_mean
257,0.9847547427790121,1,cluster_2,AH_sF1_mean
258,0.9381644163390873,1,cluster_3,AH_sF1_mean
259,0.9545035036745856,1,cluster_4,AH_sF1_mean
260,0.8180823790804991,1,cluster_0,AO_sF1_mean
261,0.7435310203384037,1,cluster_1,AO_sF1_mean
262,0.8490172620064946,1,cluster_2,AO_sF1_mean
263,0.8780721244231755,1,cluster_3,AO_sF1_mean
264,0.9083575457186805,1,cluster_4,AO_sF1_mean
265,0.8185267475645189,1,cluster_0,AX_sF1_mean
266,0.7587079131772346,1,cluster_1,AX_sF1_mean
267,0.8484019825670825,1,cluster_2,AX_sF1_mean
268,0.8769099299265083,1,cluster_3,AX_sF1_mean
269,0.8782088531874893,1,cluster_4,AX_sF1_mean
270,0.8943428473765168,1,cluster_0,EH_sF1_mean
271,0.771936421124594,1,cluster_1,EH_sF1_mean
272,0.880088873696804,1,cluster_2,EH_sF1_mean
273,0.8773542984105281,1,cluster_3,EH_sF1_mean
274,0.9233635276021193,1,cluster_4,EH_sF1_mean
275,0.9694069389847889,1,cluster_0,IH_sF1_mean
276,0.9546060502478209,1,cluster_1,IH_sF1_mean
277,0.9707058622457699,1,cluster_2,IH_sF1_mean
278,0.953170398222526,1,cluster_3,IH_sF1_mean
279,1.0,1,cluster_4,IH_sF1_mean
280,0.9240471714236883,1,cluster_0,IY_sF1_mean
281,0.8784823107161169,1,cluster_1,IY_sF1_mean
282,0.9251751837292771,1,cluster_2,IY_sF1_mean
283,0.9389164245428132,1,cluster_3,IY_sF1_mean
284,0.9092121004956417,1,cluster_4,IY_sF1_mean
285,0.8041018629294138,1,cluster_0,UH_sF1_mean
286,0.743018287472227,1,cluster_1,UH_sF1_mean
287,0.8037258588275509,1,cluster_2,UH_sF1_mean
288,0.8468637839685523,1,cluster_3,UH_sF1_mean
289,0.8780721244231755,1,cluster_4,UH_sF1_mean
290,0.8641257904631687,1,cluster_0,UW_sF1_mean
