,explained_variance
0,0.08682421376901882
1,0.07214507506060547
2,0.04772202323143971
3,0.04530303706274308
4,0.040995283857218304
5,0.0401193347294297
6,0.036016933398152984
7,0.03564879693100273
8,0.03218524667473751
9,0.029714325495498524
