,component,grand_importance
0,Principal Component 2,0.28753
1,Principal Component 6,0.08848
2,Principal Component 4,0.08803
3,Principal Component 7,0.08546
4,Principal Component 9,0.08316
5,Principal Component 8,0.08107
6,Principal Component 5,0.07722
7,Principal Component 3,0.07664
8,Principal Component 10,0.06949
9,Principal Component 1,0.06293
