,explained_variance
0,0.08682371817141642
1,0.0715105868637709
2,0.047704565624534186
3,0.04536257854468771
4,0.04096920869233121
5,0.040121929831240966
6,0.03596569819243335
7,0.035666351346263905
8,0.03219683477375595
9,0.029691065750571042
